name_thai,name_english,meaning,scale_type,drone_note,performer,province,source_page,characteristics
ลายกาเต้นก้อน,Lai Ka Ten Kon,Crows dancing over the rocks,A minor pentatonic,D,Thongsai Thabthanon,Ubon Ratchathani,101,"pentatonic,upbeat accents,sixteenth notes,drone on D"
ลายแก้วหน้าม้า,Lai Kaeo Na Ma,A house's face,G pentatonic,G,Boomma Kaowong,Kalasin,101,"pentatonic,penta-centric,rhythmic intensity,drone on G"
ลายน้อย,Lai Noi,Small/minor pattern,pentatonic,,,Nong Kai / Various,100,regional variations in tuning
ลายใหญ่,Lai Yai,Large/major pattern,"A minor pentatonic (A, C, D, E, G)",,,,27,fundamental mode
ลายแม่บท,Lai Mae Bot,Fundamental modes,pentatonic,,,,100,base patterns from khaen tradition
